user_type,metric,agent_1,agent_2,t_stat,p_value,significant
resilient,reward,bootstrapped_dqn_engagement,linucb_engagement,-7.907283488275811,3.630029062816811e-15,True
resilient,reward,bootstrapped_dqn_engagement,neural_ts_engagement,7.860651575898183,5.429243087937286e-15,True
resilient,reward,bootstrapped_dqn_engagement,random_engagement,1.2867893555595276,0.1982695582334309,False
resilient,reward,linucb_engagement,neural_ts_engagement,16.225885654170806,1.1220777322805553e-56,True
resilient,reward,linucb_engagement,random_engagement,9.110976182441323,1.4548845266799887e-19,True
resilient,reward,neural_ts_engagement,random_engagement,-6.435416087921849,1.4483491420227594e-10,True
resilient,engagement,bootstrapped_dqn_engagement,linucb_engagement,1.8032488395247688,0.07144578932639811,False
resilient,engagement,bootstrapped_dqn_engagement,neural_ts_engagement,0.16308840709785324,0.8704608755270989,False
resilient,engagement,bootstrapped_dqn_engagement,random_engagement,0.7143368483883071,0.4750758071688782,False
resilient,engagement,linucb_engagement,neural_ts_engagement,-1.577554957902703,0.1147819822246183,False
resilient,engagement,linucb_engagement,random_engagement,-1.052800686074613,0.2925153628574883,False
resilient,engagement,neural_ts_engagement,random_engagement,0.5314220482033115,0.5951699082248989,False
stress_eater,reward,bootstrapped_dqn_engagement,linucb_engagement,-10.729827171667607,2.1795612705011857e-26,True
stress_eater,reward,bootstrapped_dqn_engagement,neural_ts_engagement,0.9141191932396803,0.36073315020366115,False
stress_eater,reward,bootstrapped_dqn_engagement,random_engagement,1.032147213340647,0.3020924903573214,False
stress_eater,reward,linucb_engagement,neural_ts_engagement,12.012804668877845,1.6240230895990201e-32,True
stress_eater,reward,linucb_engagement,random_engagement,11.750077447452568,3.3908724392144118e-31,True
stress_eater,reward,neural_ts_engagement,random_engagement,0.15155089710622785,0.8795522437998962,False
stress_eater,engagement,bootstrapped_dqn_engagement,linucb_engagement,0.9037135574322045,0.36621985007027746,False
stress_eater,engagement,bootstrapped_dqn_engagement,neural_ts_engagement,-0.40162088892333836,0.6879937312372965,False
stress_eater,engagement,bootstrapped_dqn_engagement,random_engagement,-0.3564520253228863,0.7215290067053041,False
stress_eater,engagement,linucb_engagement,neural_ts_engagement,-1.3187318982675487,0.18736109553009261,False
stress_eater,engagement,linucb_engagement,random_engagement,-1.2670414103635872,0.2052410216307999,False
stress_eater,engagement,neural_ts_engagement,random_engagement,0.04322217358693522,0.9655275429133895,False
fatigue_sensitive,reward,bootstrapped_dqn_engagement,linucb_engagement,-12.343352922673889,3.4095736743398206e-34,True
fatigue_sensitive,reward,bootstrapped_dqn_engagement,neural_ts_engagement,-8.22368523438999,2.860511262911297e-16,True
fatigue_sensitive,reward,bootstrapped_dqn_engagement,random_engagement,-0.20171441990054886,0.8401542486572589,False
fatigue_sensitive,reward,linucb_engagement,neural_ts_engagement,3.4383364443651567,0.0005922896844891452,True
fatigue_sensitive,reward,linucb_engagement,random_engagement,12.235067699933529,1.201446490421035e-33,True
fatigue_sensitive,reward,neural_ts_engagement,random_engagement,8.085064600679214,8.782905192892129e-16,True
fatigue_sensitive,engagement,bootstrapped_dqn_engagement,linucb_engagement,1.39076382471953,0.16439814254187352,False
fatigue_sensitive,engagement,bootstrapped_dqn_engagement,neural_ts_engagement,-0.38376187351864427,0.7011818344026655,False
fatigue_sensitive,engagement,bootstrapped_dqn_engagement,random_engagement,0.2496666811008067,0.8028629476730431,False
fatigue_sensitive,engagement,linucb_engagement,neural_ts_engagement,-1.8861367213015003,0.05935829958327443,False
fatigue_sensitive,engagement,linucb_engagement,random_engagement,-1.1320157166883102,0.25771581940053206,False
fatigue_sensitive,engagement,neural_ts_engagement,random_engagement,0.6484848848328038,0.5167201711587304,False
