dropout_step
199
200
199
200
199
200
1
200
199
200
2
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
1
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
0
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
1
200
199
200
199
200
199
200
199
200
199
200
199
200
196
200
199
200
199
200
140
200
199
200
155
200
199
200
199
200
169
200
199
200
2
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
170
200
199
200
199
200
199
200
199
200
132
200
199
200
199
200
199
200
199
200
1
200
1
200
163
200
199
200
199
200
149
200
199
200
199
200
199
200
199
200
174
200
199
200
171
200
0
200
199
200
199
200
199
200
135
200
141
200
199
200
