dropout_step
3
200
199
200
199
200
199
200
199
200
199
200
80
200
90
200
1
200
199
200
199
200
199
200
93
200
199
200
199
200
199
200
82
200
73
200
75
200
79
200
89
200
77
200
199
200
77
200
77
200
199
200
199
200
199
200
199
200
87
200
80
200
118
200
102
200
199
200
145
200
199
200
84
200
199
200
137
200
199
200
84
200
84
200
0
200
75
200
81
200
199
200
199
200
199
200
199
200
199
200
82
200
114
200
199
200
142
200
2
200
91
200
87
200
199
200
199
200
0
200
199
200
199
200
108
200
0
200
69
200
91
200
92
200
73
200
77
200
199
200
74
200
199
200
199
200
0
200
199
200
148
200
9
200
199
200
179
200
75
200
199
200
66
200
70
200
93
200
127
200
199
200
199
200
199
200
98
200
180
200
199
200
111
200
199
200
199
200
3
200
199
200
82
200
3
200
23
200
199
200
