t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,t188,t189,t190,t191,t192,t193,t194,t195,t196,t197,t198,t199
0.9973432733028244,0.9954159715134926,0.9932471037263466,0.9916009685791985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9963055326255672,0.9929417172226229,0.9916943203031747,0.9894062085229369,0.9868005051686264,0.9820970706635848,0.9801217611519834,0.9770435887811468,0.9752366748201109,0.9731234882620191,0.9712981040232915,0.9693775539767898,0.9702095224958069,0.9689660432872921,0.9700284630347202,0.9687759376659478,0.9680774109553004,0.9666289478499708,0.9658749844121483,0.9664891602892619,0.9657154104414983,0.9660215345789318,0.9666787160977708,0.9673809074050271,0.967431514038599,0.9672923620807867,0.9687385885066675,0.9688887020342231,0.9694926043881772,0.9699891185344818,0.9709862539912001,0.9710022942985981,0.9721537891002731,0.9735636806857925,0.9744046888760317,0.9749553923429608,0.9759020629453922,0.9772696775349955,0.9794059166053568,0.9818428658818446,0.9840205781750416,0.9852135716696457,0.9879135371431804,0.9896786728219035,0.9915072380017693,0.9946491821546698,0.9959209409136838,0.9987745596650576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9985557597617163,0.9983835588885934,0.9979126772403564,0.9983836567424775,0.9982609896588799,0.9980581740531793,0.9976022894007885,0.9974302528124758,0.9981980289812779,0.9976251687659177,0.9974703462716319,0.9977405917766622,0.9964941274575397,0.994767000964917,0.9942863521962342,0.9927042256137377,0.9909843670011936,0.9850373944994111,0.9778278802671375,0.9765290645277116,0.9747202859122349,0.9735242648021643,0.9726360901259006,0.9706295152789557,0.9708961725578213,0.9709271865461138,0.9703902986554204,0.968475544711598,0.9668211683854505,0.9649615463013814,0.9631102637589273,0.9608421467976092,0.9537765163674526,0.9457311883443343,0.944076480502202,0.9427773563788151,0.9406587699387593,0.9412003765297923,0.9424261955999055,0.9438687461032738,0.9457554028548135,0.9503851961664034,0.9543918785107879,0.9592936753656102,0.9638584042221418,0.9705103064169235,0.9783977337501378,0.9867174809710642,0.9959487039570394,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9958178967161256,0.9926828364814669,0.9890431970883071,0.9851288498547981,0.9828221166931064,0.9797833736205297,0.9773013355828837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9998894942948824,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9949464405723526,0.9888470418791249,0.9826997967564532,0.9769305061605505,0.9727525993174458,0.9683587968658139,0.9632045398352697,0.9579284132041674,0.9511181524957948,0.9467141969737586,0.9414989658154631,0.9362183669512154,0.930454625508032,0.9254818638299899,0.9210621532875005,0.917027882307599,0.9127163490858096,0.9092157903328083,0.9038880193735349,0.8995608284699412,0.8959100895635218,0.8912621160578449,0.8858231130863455,0.8817442221381353,0.8771683210573427,0.8736534379213735,0.8707748839597789,0.8664430862100975,0.8639568229185615,0.8612348516751567,0.8582892445237681,0.8562214915996192,0.8533765936488795,0.8515037377941513,0.8498945963023707,0.847894607872901,0.8467497454617531,0.8445340639140853,0.8430742583177815,0.8407311990947564,0.8382871597967875,0.8361363981312466,0.8355457546559635,0.8338075466768649,0.8336400101849208,0.8326841286103227,0.8319116249316975,0.8328985761503929,0.8330269533788554,0.8338413269038742,0.8340341272328609,0.8362487982141412,0.837487308021868,0.8400329895654073,0.8420425877535374,0.8439624218690759,0.8458016355501646,0.8481329398726037,0.849967493253739,0.852344707917378,0.8554879916384468,0.8594880222051972,0.8629673976996105,0.8672685381713696,0.8698048502335001,0.875543477707012,0.8798969620183861,0.8842450854300407,0.8887155689359529,0.8950457531988826,0.9019194739574885,0.9070872833584469,0.9123561514257873,0.9173063594621773,0.9223060947810738,0.9269248936476824,0.9324275815719804,0.9371617908074382,0.9424511814337475,0.948835560181618,0.9548527060626247,0.9615985702415346,0.9679532434019403,0.9742894564622878,0.9800436468656178,0.986011522895585,0.9928578057845564,0.9982879841352634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994270358032527,0.9986566892839782,0.9999295502816257,0.999373316306464,0.9997600021491139,0.9992208593868448,1.0,1.0,1.0,0.9996626226424552,0.9993656425256422,0.9984359251683727,0.9990524359769813
0.9979198917057898,0.9965141546674203,0.9942669845610299,0.9930293667913683,0.9912569828115736,0.9901103113612757,0.9885431235626568,0.9866110854878859,0.9853351398412654,0.9848077214687885,0.9826627253297875,0.9813020887488387,0.9797707633729242,0.9778611154104414,0.9765746400065747,0.9752973632784646,0.9743748388977056,0.973027771399495,0.9717122276811555,0.9704711735865679,0.9686179115685157,0.9672904074454725,0.9671435249684582,0.9655739995726839,0.9652449449801145,0.9652664873322068,0.9648962459472322,0.964473975825698,0.9652169223301368,0.9654292243938294,0.9658717141062283,0.9654875729588571,0.9649809752382565,0.9648963130859233,0.9653820283179305,0.9648742870374868,0.9650454663162866,0.9644017717469412,0.9644437839814924,0.9641340124411089,0.9640550174972048,0.9639516888365076,0.9646915666407668,0.9656535695162078,0.9662666538896626,0.9690987793378494,0.970779676971476,0.972661958054021,0.9741657019792158,0.9763803834890018,0.9781078144801998,0.9803201559320895,0.9818850324635678,0.9844623586607897,0.9862448119447043,0.9886904610441273,0.9909515706834848,0.9921127137089053,0.99453429505409,0.9967213830494496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9986130927526815,0.9987758081239473,0.9975834928060726,0.9967020171635343,0.9957814295529427,0.9945590562148774,0.9888638114377944,0.9820954373892655,0.9816179781880272,0.9747441361998647,0.9730997895318352,0.9725920921000323,0.9728640483495807,0.9740694231698296,0.9752595527769763,0.9800317104943856,0.9841390135254869,0.9896149561317455,0.9950309191109399,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.9994898613583982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996845628780784,1.0,1.0,0.9996447051238536,1.0,1.0,1.0,1.0,1.0,1.0,0.9997768957342511,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995173913501977,0.9987814322604488,0.9982075456684218,0.9967538009402883,0.9953196048459697,0.9946646181615213,0.9884222227000347,0.9808889775100122,0.9786548837176091,0.9729807451525331,0.9651539191537564,0.9633370941334856,0.9624407557653089,0.9617277682206271,0.9609749564287031,0.9599858743693204,0.9601940196448924,0.9612995132757542,0.963554003065154,0.9660976376809282,0.9698429259461613,0.9740788410517477,0.9792384313864178,0.9846939388564603,0.9905248056037319,0.9976392605422082,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996900066002521,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999588039849711,1.0,1.0,1.0,0.9996994222024993,1.0,1.0,1.0,1.0,1.0,1.0,0.9989739946875393,0.9980767867469669,0.9974993410836183,0.9950939869427265,0.9951032096948601,0.9960624765841289,0.9954626846275938,0.9950693145341,0.9955928021081368,0.9949783821824915,0.9955435438972715,0.9972133305355969,0.9986586072284291,0.9984230815757725,0.9984151506995932,0.9982111738783375,0.9994663210404545,1.0,1.0,1.0,1.0,0.9995167722205487,1.0,0.9999194950411059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
