dropout_step
3
200
199
200
6
200
199
200
199
200
177
200
168
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
1
200
199
200
199
200
199
200
199
200
199
200
199
200
2
200
2
200
143
200
199
200
199
200
199
200
193
200
138
200
199
200
199
200
199
200
143
200
199
200
199
200
139
200
199
200
136
200
199
200
199
200
199
200
199
200
199
200
148
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
2
200
199
200
199
200
199
200
199
200
199
200
110
200
199
200
199
200
199
200
199
200
199
200
3
200
199
200
97
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
199
200
138
200
199
200
193
200
199
200
199
200
144
200
199
200
197
200
182
200
3
200
199
200
199
200
157
200
162
200
199
200
