run,timestep,reward,engagement,dropout
0,0,0.9722471630696107,1.0,
0,1,0.6801034047144713,1.0,
0,2,0.34969046907311935,1.0,
0,3,0.3410626399372814,1.0,
0,4,0.751906156236026,1.0,
0,5,0.977098014441892,1.0,
0,6,1.0,1.0,
0,7,0.7617293869625608,1.0,
0,8,1.0,1.0,
0,9,1.0,1.0,
0,10,1.0,1.0,
0,11,0.6271147852598105,1.0,
0,12,1.0,1.0,
0,13,0.8553022119677732,1.0,
0,14,1.0,1.0,
0,15,0.3009658237887674,1.0,
0,16,1.0,1.0,
0,17,1.0,1.0,
0,18,0.9231013189069273,1.0,
0,19,1.0,1.0,
0,20,1.0,1.0,
0,21,0.8984154673047688,1.0,
0,22,1.0,1.0,
0,23,1.0,1.0,
0,24,1.0,1.0,
0,25,1.0,1.0,
0,26,1.0,1.0,
0,27,1.0,1.0,
0,28,1.0,1.0,
0,29,1.0,1.0,
0,30,1.0,1.0,
0,31,1.0,1.0,
0,32,1.0,1.0,
0,33,1.0,1.0,
0,34,1.0,1.0,
0,35,1.0,1.0,
0,36,1.0,1.0,
0,37,1.0,1.0,
0,38,1.0,1.0,
0,39,1.0,1.0,
0,40,1.0,1.0,
0,41,1.0,1.0,
0,42,1.0,1.0,
0,43,1.0,1.0,
0,44,1.0,1.0,
0,45,1.0,1.0,
0,46,1.0,1.0,
0,47,1.0,1.0,
0,48,1.0,1.0,
0,49,1.0,1.0,
0,50,1.0,1.0,
0,51,0.9800419062915966,1.0,
0,52,0.971278239107895,1.0,
0,53,0.9903837379448477,1.0,
0,54,0.9417446658258852,1.0,
0,55,0.9994995835214913,1.0,
0,56,1.0,1.0,
0,57,1.0,1.0,
0,58,1.0,1.0,
0,59,1.0,1.0,
0,60,1.0,1.0,
0,61,1.0,1.0,
0,62,1.0,1.0,
0,63,1.0,1.0,
0,64,1.0,1.0,
0,65,1.0,1.0,
0,66,1.0,1.0,
0,67,0.9923614146392882,1.0,
0,68,1.0,1.0,
0,69,1.0,1.0,
0,70,1.0,1.0,
0,71,1.0,1.0,
0,72,1.0,1.0,
0,73,1.0,1.0,
0,74,1.0,1.0,
0,75,1.0,1.0,
0,76,1.0,1.0,
0,77,1.0,1.0,
0,78,1.0,1.0,
0,79,1.0,1.0,
0,80,1.0,1.0,
0,81,1.0,1.0,
0,82,1.0,1.0,
0,83,1.0,1.0,
0,84,1.0,1.0,
0,85,1.0,1.0,
0,86,1.0,1.0,
0,87,1.0,1.0,
0,88,1.0,1.0,
0,89,1.0,1.0,
0,90,1.0,1.0,
0,91,1.0,1.0,
0,92,1.0,1.0,
0,93,1.0,1.0,
0,94,1.0,1.0,
0,95,1.0,1.0,
0,96,1.0,1.0,
0,97,1.0,1.0,
0,98,1.0,1.0,
0,99,1.0,1.0,
0,100,1.0,1.0,
0,101,1.0,1.0,
0,102,1.0,1.0,
0,103,1.0,1.0,
0,104,1.0,1.0,
0,105,1.0,1.0,
0,106,1.0,1.0,
0,107,1.0,1.0,
0,108,1.0,1.0,
0,109,1.0,1.0,
0,110,1.0,1.0,
0,111,1.0,1.0,
0,112,1.0,1.0,
0,113,1.0,1.0,
0,114,1.0,1.0,
0,115,1.0,1.0,
0,116,1.0,1.0,
0,117,1.0,1.0,
0,118,1.0,1.0,
0,119,1.0,1.0,
0,120,1.0,1.0,
0,121,1.0,1.0,
0,122,0.9956460299015317,1.0,
0,123,1.0,1.0,
0,124,1.0,1.0,
0,125,1.0,1.0,
0,126,1.0,1.0,
0,127,1.0,1.0,
0,128,1.0,1.0,
0,129,1.0,1.0,
0,130,1.0,1.0,
0,131,1.0,1.0,
0,132,1.0,1.0,
0,133,1.0,1.0,
0,134,1.0,1.0,
0,135,1.0,1.0,
0,136,1.0,1.0,
0,137,1.0,1.0,
0,138,1.0,1.0,
0,139,1.0,1.0,
0,140,1.0,1.0,
0,141,0.9786922526093863,1.0,
0,142,1.0,1.0,
0,143,1.0,1.0,
0,144,1.0,1.0,
0,145,1.0,1.0,
0,146,1.0,1.0,
0,147,1.0,1.0,
0,148,1.0,1.0,
0,149,1.0,1.0,
0,150,0.9954916569108722,1.0,
0,151,1.0,1.0,
0,152,1.0,1.0,
0,153,0.9766444405101481,1.0,
0,154,1.0,1.0,
0,155,1.0,1.0,
0,156,1.0,1.0,
0,157,0.5832060670226152,1.0,
0,158,1.0,1.0,
0,159,1.0,1.0,
0,160,1.0,1.0,
0,161,1.0,1.0,
0,162,1.0,1.0,
0,163,1.0,1.0,
0,164,1.0,1.0,
0,165,1.0,1.0,
0,166,1.0,1.0,
0,167,1.0,1.0,
0,168,1.0,1.0,
0,169,1.0,1.0,
0,170,1.0,1.0,
0,171,0.9995593039458056,1.0,
0,172,0.9953142375404965,1.0,
0,173,0.9973592523068178,1.0,
0,174,1.0,1.0,
0,175,1.0,1.0,
0,176,0.9644482672622723,1.0,
0,177,0.9937584915993656,1.0,
0,178,0.9721680851118785,1.0,
0,179,0.9707332257628658,1.0,
0,180,0.9897303544015227,1.0,
0,181,0.9765778875325829,1.0,
0,182,1.0,1.0,
0,183,0.9573119427250383,1.0,
0,184,0.9719624995298797,1.0,
0,185,1.0,1.0,
0,186,0.9548557544170478,1.0,
0,187,0.9553764923827677,1.0,
0,188,0.9543295390474723,1.0,
0,189,0.9210488477800965,1.0,
0,190,0.9804725289660592,1.0,
0,191,0.9807747058294725,1.0,
0,192,0.9114933829476504,1.0,
0,193,0.9371321623188679,1.0,
0,194,0.9852247077065056,1.0,
0,195,0.9524343042687522,1.0,
0,196,0.9601025073346853,1.0,
0,197,0.952132435851409,1.0,
0,198,0.9419493217864938,1.0,
0,199,1.0,1.0,199.0
1,0,0.9353798520621113,1.0,
1,1,0.5379931192269989,1.0,
1,2,0.34462006203243295,1.0,
1,3,0.5781193016576451,1.0,
1,4,0.3345197183276136,1.0,
1,5,0.9362402636546041,1.0,
1,6,0.9941725280565157,1.0,
1,7,1.0,1.0,
1,8,0.6680456498395041,1.0,
1,9,1.0,1.0,
1,10,0.35766310569711196,1.0,
1,11,0.7397018330002495,1.0,
1,12,1.0,1.0,
1,13,1.0,1.0,
1,14,1.0,1.0,
1,15,1.0,1.0,
1,16,0.7841056026782812,1.0,
1,17,1.0,1.0,
1,18,1.0,1.0,
1,19,1.0,1.0,
1,20,1.0,1.0,
1,21,1.0,1.0,
1,22,1.0,1.0,
1,23,0.7539937965034298,1.0,
1,24,1.0,1.0,
1,25,1.0,1.0,
1,26,0.37249767119633675,1.0,
1,27,1.0,1.0,
1,28,1.0,1.0,
1,29,1.0,1.0,
1,30,1.0,1.0,
1,31,1.0,1.0,
1,32,1.0,1.0,
1,33,1.0,1.0,
1,34,1.0,1.0,
1,35,1.0,1.0,
1,36,1.0,1.0,
1,37,1.0,1.0,
1,38,1.0,1.0,
1,39,1.0,1.0,
1,40,1.0,1.0,
1,41,1.0,1.0,
1,42,1.0,1.0,
1,43,1.0,1.0,
1,44,1.0,1.0,
1,45,1.0,1.0,
1,46,1.0,1.0,
1,47,1.0,1.0,
1,48,1.0,1.0,
1,49,1.0,1.0,
1,50,1.0,1.0,
1,51,1.0,1.0,
1,52,1.0,1.0,
1,53,1.0,1.0,
1,54,1.0,1.0,
1,55,1.0,1.0,
1,56,1.0,1.0,
1,57,1.0,1.0,
1,58,1.0,1.0,
1,59,1.0,1.0,
1,60,1.0,1.0,
1,61,1.0,1.0,
1,62,1.0,1.0,
1,63,0.9864619399588117,1.0,
1,64,0.9979502832090796,1.0,
1,65,1.0,1.0,
1,66,1.0,1.0,
1,67,1.0,1.0,
1,68,1.0,1.0,
1,69,1.0,1.0,
1,70,1.0,1.0,
1,71,1.0,1.0,
1,72,1.0,1.0,
1,73,1.0,1.0,
1,74,1.0,1.0,
1,75,0.9704712742774334,1.0,
1,76,1.0,1.0,
1,77,1.0,1.0,
1,78,1.0,1.0,
1,79,0.9646526971362074,1.0,
1,80,0.9982783565058776,1.0,
1,81,0.9732377444534495,1.0,
1,82,0.9190999248915808,1.0,
1,83,1.0,1.0,
1,84,0.9831296915938079,1.0,
1,85,0.9685141454950427,1.0,
1,86,0.9543910383419439,1.0,
1,87,0.9503909581230249,1.0,
1,88,0.9357860361355765,1.0,
1,89,0.9678033931113549,1.0,
1,90,0.967119566157989,1.0,
1,91,0.9737689163459382,1.0,
1,92,0.984095856064921,1.0,
1,93,0.9690202572479779,1.0,
1,94,0.9988976428546776,1.0,
1,95,1.0,1.0,
1,96,0.9528936754841547,1.0,
1,97,0.9476269576286211,1.0,
1,98,0.973548419149577,1.0,
1,99,0.9343930198614627,1.0,
1,100,1.0,1.0,
1,101,0.9318220556671369,1.0,
1,102,0.996950785019759,1.0,
1,103,0.959510911111187,1.0,
1,104,0.9184377695890328,1.0,
1,105,0.9104134863978768,1.0,
1,106,0.9647671007229978,1.0,
1,107,0.9847174696072832,1.0,
1,108,0.9196301219722216,1.0,
1,109,0.9925265866447092,1.0,
1,110,0.9241279765671017,1.0,
1,111,0.9467370685715814,1.0,
1,112,0.9117162157130122,1.0,
1,113,0.8971901010827104,1.0,
1,114,0.8917124180665309,1.0,
1,115,0.9609682960463033,1.0,
1,116,0.9057896975761284,1.0,
1,117,0.9484934980465045,1.0,
1,118,0.8802779026619297,1.0,
1,119,0.9431841205374436,1.0,
1,120,0.8625119347893985,1.0,
1,121,0.9280202189579212,1.0,
1,122,0.8923687800217438,1.0,
